Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 0:00,2021,7,1,0:00,21.9,,17.3,,75,,0,,29,,8,,16.1,,100.42,,27,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 1:00,2021,7,1,1:00,18.6,,16.6,,88,,0,,28,,5,,16.1,,100.38,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 2:00,2021,7,1,2:00,18.7,,16.7,,88,,0,,29,,5,,16.1,,100.33,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 3:00,2021,7,1,3:00,20.3,,17.2,,82,,0,,31,,8,,16.1,,100.32,,26,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 4:00,2021,7,1,4:00,16,,15.4,,96,,0,,19,,4,,16.1,,100.29,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 5:00,2021,7,1,5:00,18.4,,16.6,,89,,0,,31,,9,,16.1,,100.32,,,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 6:00,2021,7,1,6:00,20.2,,16.8,,80,,0,,33,,5,,16.1,,100.32,,25,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 7:00,2021,7,1,7:00,20.5,,17,,80,,0,,30,,8,,16.1,,100.3,,26,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 8:00,2021,7,1,8:00,21.4,,17.2,,77,,0,,,M,4,,16.1,,100.3,,27,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 9:00,2021,7,1,9:00,21.6,,17.5,,77,,0,,16,,13,,16.1,,100.3,,27,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 10:00,2021,7,1,10:00,21.5,,17.4,,77,,0,,,M,4,,16.1,,100.28,,27,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 11:00,2021,7,1,11:00,22,,18,,78,,0,,18,,8,,16.1,,100.28,,28,,,,NA
-79.4,43.63,TORONTO CITY CENTRE,6158359,2021-07-01 12:00,2021,7,1,12:00,22.4,,17.7,,74,,0,,17,,11,,16.1,,100.25,,28,,,,NA
